Node,Number of Visits,Relative Importance Score,%
367,238757,0.00238757,0.238757
249,218663,0.00218663,0.21866300000000002
145,205881,0.00205881,0.20588099999999998
264,200455,0.00200455,0.200455
266,196147,0.00196147,0.196147
123,186762,0.00186762,0.18676199999999998
127,185671,0.00185671,0.185671
122,185371,0.00185371,0.185371
1317,184120,0.0018412,0.18412
5,182750,0.0018275,0.18275
251,177758,0.00177758,0.177758
427,176503,0.00176503,0.176503
149,166200,0.001662,0.16620000000000001
176,162369,0.00162369,0.16236899999999999
353,160168,0.00160168,0.160168
390,158873,0.00158873,0.158873
559,157402,0.00157402,0.157402
124,156854,0.00156854,0.156854
4,155074,0.00155074,0.15507400000000002
7,150527,0.00150527,0.150527
177,148389,0.00148389,0.14838900000000002
146,147351,0.00147351,0.14735099999999998
424,143792,0.00143792,0.143792
368,143239,0.00143239,0.143239
3,142447,0.00142447,0.142447
422,139232,0.00139232,0.139232
147,138221,0.00138221,0.138221
143,135677,0.00135677,0.135677
248,134864,0.00134864,0.13486399999999998
369,134438,0.00134438,0.134438
125,131946,0.00131946,0.131946
128,131755,0.00131755,0.131755
144,131739,0.00131739,0.13173900000000002
754,129197,0.00129197,0.129197
8,125758,0.00125758,0.12575799999999998
247,125494,0.00125494,0.125494
126,124618,0.00124618,0.12461799999999999
179,123564,0.00123564,0.12356400000000001
175,123263,0.00123263,0.123263
121,121097,0.00121097,0.121097
2018,120739,0.00120739,0.120739
9,120521,0.00120521,0.12052099999999999
174,118572,0.00118572,0.118572
352,118400,0.001184,0.11839999999999999
250,117165,0.00117165,0.117165
667,115098,0.00115098,0.115098
856,112995,0.00112995,0.112995
252,112174,0.00112174,0.112174
1245,109855,0.00109855,0.109855
246,107258,0.00107258,0.107258
148,106952,0.00106952,0.106952
666,106419,0.00106419,0.106419
762,99079,0.00099079,0.099079
129,96206,0.00096206,0.096206
2001,94766,0.00094766,0.094766
423,93925,0.00093925,0.093925
265,92904,0.00092904,0.092904
717,91507,0.00091507,0.091507
697,77828,0.00077828,0.077828
180,74865,0.00074865,0.074865
238,73820,0.0007382,0.07382000000000001
753,64674,0.00064674,0.06467400000000001
426,64644,0.00064644,0.064644
